[2024-09-19 14:37:03,306][ WARN][       ti5mcl.cpp:177 ] ti5Motor(canid:) created using hardware settings
[2024-09-20 15:31:19,300][ INFO] Command execution completed successfully.
[2024-09-20 15:31:19,300][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 15:32:16,381][ WARN] shexec failed with status 32256
[2024-09-20 15:32:53,705][ WARN] shexec failed with status 32512
[2024-09-20 15:33:29,012][ WARN] shexec failed with status 32512
[2024-09-20 15:33:29,012][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 15:51:20,854][ WARN] shexec failed with status 32512
[2024-09-20 15:52:24,211][ WARN] shexec failed with status 32512
[2024-09-20 15:52:24,211][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 15:56:12,434][ WARN] shexec failed with status 32512
[2024-09-20 15:56:12,434][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 15:59:15,612][ WARN] shexec failed with status 32512
[2024-09-20 15:59:15,619][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 15:59:41,748][ INFO] Command execution completed successfully.
[2024-09-20 15:59:41,754][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 16:19:57,383][ INFO] Command execution completed successfully.
[2024-09-20 16:19:57,389][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 16:20:23,568][ INFO] Command execution completed successfully.
[2024-09-20 16:20:23,575][ INFO] ti5Motor(canid:1) created using hardware settings
[2024-09-20 16:20:29,182][ INFO] Command execution completed successfully.
[2024-09-20 16:20:29,188][ INFO] ti5Motor(canid:1) created using hardware settings
